,Open,High,Low,Close,ma_diff,sar_diff,trend
09-05-2022 09:00,33639.11328125,33709.921875,33472.19140625,33478.03125,-397.5363172956859,-79.33852284874592,Downtrend
09-05-2022 10:00,33477.58984375,33518.58203125,32834.953125,32834.953125,-535.2837441057709,-71.40467056386842,Downtrend
09-05-2022 11:00,32856.25,33103.40625,32813.30859375,33097.5625,-538.8503172100827,-126.62876295897877,Downtrend
09-05-2022 12:00,33108.6875,33114.06640625,32932.375,32960.546875,-556.5179921076051,-133.03576434621937,Downtrend
09-05-2022 13:00,32950.87109375,33312.8046875,32778.8671875,33015.81640625,-536.348034855866,-114.41075733774778,Downtrend
09-05-2022 14:00,33038.50390625,33062.78515625,32593.544921875,32593.544921875,-607.6959367661402,-117.96005506909569,Downtrend
09-05-2022 15:00,32590.642578125,32656.9140625,32185.0703125,32368.76171875,-684.9590549555542,-85.35278911277419,Downtrend
09-05-2022 16:00,32356.78515625,32529.70703125,31715.830078125,31750.67578125,-856.9807921585198,-225.546875,Downtrend
09-05-2022 17:00,31777.720703125,31841.767578125,31277.314453125,31449.513671875,-1005.2394599366235,-274.28554687499854,Downtrend
09-05-2022 18:00,31433.27734375,31453.02734375,30556.705078125,30969.93359375,-1176.938692120264,-283.26523437500146,Downtrend
09-05-2022 19:00,30924.197265625,30924.197265625,30516.072265625,30880.02734375,-1264.5464252748352,-394.6003906250007,Downtrend
09-05-2022 20:00,30896.8359375,31781.4609375,30853.384765625,31177.9921875,-1206.3008435775992,-323.8068749999984,Downtrend
09-05-2022 21:00,31158.87890625,31456.41015625,31010.033203125,31048.416015625,-1163.724792569261,-29.838828125000873,Downtrend
09-05-2022 22:00,31032.59765625,31274.435546875,30822.6171875,31153.958984375,-1075.9710774152081,0.0,Downtrend
09-05-2022 23:00,31148.8046875,31205.888671875,30328.443359375,30328.443359375,-1185.433792404343,-253.07773437500146,Downtrend
